year,mode,number,proportion
2011,car_driv,15264527,0.575448000055492
2011,car_pass,1357280,0.05116726260272056
2011,pt,4349267,0.1639603373794255
2011,walk,2846588,0.10731176744500258
2011,cycle,762334,0.028738759849833765
2011,mfh,1422708,0.05363379246949145
2011,other,523632,0.019740080198034134
2001,car_driv,12919043,0.5820920532331075
2001,car_pass,1460445,0.06580312711119746
2001,pt,3397543,0.1530827616889093
2001,walk,2338286,0.10535592294152363
2001,cycle,646257,0.0291183382582029
2001,mfh,1119642,0.050447599769272614
2001,other,312942,0.014100196997786535
1991,car_driv,1244751,0.5311195936570354
1991,car_pass,179764,0.07670303750241078
1991,pt,366302,0.15629645559293337
1991,walk,276322,0.11790312147449519
1991,cycle,69540,0.02967184323845512
1991,mfh,115943,0.049471419623183806
1991,other,91014,0.038834528911486255
1981,car_driv,872856,0.3811118950979091
1981,car_pass,276290,0.12063548339772116
1981,pt,497110,0.2170513053380186
1981,walk,359633,0.1570252300147405
1981,cycle,83028,0.03625220932913241
1981,mfh,83811,0.03659408773045136
1981,other,117560,0.05132978909202685
